Клиент,Участник компании,Кампания,Дата добавления в компанию,Дата статуса,Вид компании,Отклик
63,73,48,07.05.2023,22.05.2023,MobPush,1
89,74,6,12.02.2023,24.02.2023,Viber,2
47,75,2,04.02.2023,14.02.2023,SMS,2
76,76,40,21.04.2023,22.04.2023,WebPush,1
10,77,37,15.04.2023,27.04.2023,WebPush,0
29,78,43,27.04.2023,07.05.2023,MobPush,1
41,79,16,04.03.2023,12.03.2023,SMS,0
36,80,2,04.02.2023,06.02.2023,SMS,0
77,81,4,08.02.2023,23.02.2023,WebPush,2
48,82,45,01.05.2023,07.05.2023,MobPush,0
65,83,18,08.03.2023,15.03.2023,SMS,1
41,84,10,20.02.2023,01.03.2023,Viber,2
76,85,23,18.03.2023,20.03.2023,SMS,2
48,86,24,20.03.2023,27.03.2023,SMS,2
8,87,1,02.02.2023,09.02.2023,Viber,3
26,88,4,08.02.2023,13.02.2023,WebPush,1
39,89,30,01.04.2023,03.04.2023,Email,3
86,90,16,04.03.2023,16.03.2023,SMS,0
78,91,18,08.03.2023,17.03.2023,SMS,0
3,92,27,26.03.2023,01.04.2023,Email,0
97,93,32,05.04.2023,16.04.2023,Email,1
15,94,38,17.04.2023,24.04.2023,WebPush,3
12,95,13,26.02.2023,04.03.2023,Viber,2
54,96,11,22.02.2023,08.03.2023,Viber,1
65,97,37,15.04.2023,26.04.2023,WebPush,1
35,98,11,22.02.2023,07.03.2023,Viber,2
23,99,2,04.02.2023,16.02.2023,SMS,0
21,100,19,10.03.2023,24.03.2023,SMS,1
85,101,27,26.03.2023,30.03.2023,Email,1
5,102,31,03.04.2023,16.04.2023,Email,2
77,103,29,30.03.2023,31.03.2023,Email,0
44,104,42,25.04.2023,09.05.2023,WebPush,2
84,105,24,20.03.2023,22.03.2023,SMS,1
31,106,4,08.02.2023,15.02.2023,WebPush,0
38,107,5,10.02.2023,13.02.2023,MobPush,2
68,108,23,18.03.2023,21.03.2023,SMS,0
53,109,26,24.03.2023,06.04.2023,Email,2
29,110,47,05.05.2023,14.05.2023,MobPush,0
93,111,41,23.04.2023,06.05.2023,WebPush,0
100,112,41,23.04.2023,28.04.2023,WebPush,3
76,113,50,11.05.2023,21.05.2023,MobPush,1
47,114,45,01.05.2023,11.05.2023,MobPush,3
35,115,32,05.04.2023,20.04.2023,Email,2
98,116,7,14.02.2023,27.02.2023,Viber,0
75,117,12,24.02.2023,28.02.2023,Viber,2
7,118,3,06.02.2023,10.02.2023,Email,2
6,119,16,04.03.2023,13.03.2023,SMS,0
9,120,6,12.02.2023,18.02.2023,Viber,3
7,121,49,09.05.2023,10.05.2023,MobPush,3
41,122,44,29.04.2023,14.05.2023,MobPush,1
60,123,43,27.04.2023,10.05.2023,MobPush,3
92,124,47,05.05.2023,18.05.2023,MobPush,1
42,125,10,20.02.2023,25.02.2023,Viber,1
59,126,37,15.04.2023,18.04.2023,WebPush,3
47,127,1,02.02.2023,10.02.2023,Viber,2
14,128,46,03.05.2023,08.05.2023,MobPush,0
76,129,36,13.04.2023,22.04.2023,WebPush,2
8,130,6,12.02.2023,14.02.2023,Viber,1
49,131,50,11.05.2023,18.05.2023,MobPush,1
10,132,9,18.02.2023,03.03.2023,Viber,0
76,133,19,10.03.2023,20.03.2023,SMS,2
60,134,15,02.03.2023,17.03.2023,Viber,0
12,135,45,01.05.2023,06.05.2023,MobPush,0
80,136,37,15.04.2023,19.04.2023,WebPush,3
57,137,37,15.04.2023,25.04.2023,WebPush,1
91,138,32,05.04.2023,12.04.2023,Email,1
79,139,46,03.05.2023,09.05.2023,MobPush,2
84,140,18,08.03.2023,20.03.2023,SMS,1
67,141,11,22.02.2023,07.03.2023,Viber,2
91,142,48,07.05.2023,09.05.2023,MobPush,3
11,143,2,04.02.2023,13.02.2023,SMS,3
3,144,50,11.05.2023,24.05.2023,MobPush,0
17,145,21,14.03.2023,17.03.2023,SMS,0
90,146,36,13.04.2023,16.04.2023,WebPush,3
90,147,20,12.03.2023,13.03.2023,SMS,0
14,148,48,07.05.2023,18.05.2023,MobPush,1
53,149,50,11.05.2023,13.05.2023,MobPush,2
53,150,35,11.04.2023,17.04.2023,WebPush,2
65,151,38,17.04.2023,25.04.2023,WebPush,0
40,152,45,01.05.2023,14.05.2023,MobPush,0
35,153,4,08.02.2023,17.02.2023,WebPush,0
58,154,39,19.04.2023,28.04.2023,WebPush,3
25,155,3,06.02.2023,21.02.2023,Email,0
51,156,24,20.03.2023,01.04.2023,SMS,1
59,157,47,05.05.2023,11.05.2023,MobPush,3
45,158,6,12.02.2023,15.02.2023,Viber,2
27,159,35,11.04.2023,20.04.2023,WebPush,1
56,160,47,05.05.2023,11.05.2023,MobPush,3
48,161,9,18.02.2023,05.03.2023,Viber,0
88,162,47,05.05.2023,08.05.2023,MobPush,3
2,163,12,24.02.2023,07.03.2023,Viber,2
96,164,13,26.02.2023,12.03.2023,Viber,2
55,165,49,09.05.2023,13.05.2023,MobPush,0
20,166,4,08.02.2023,11.02.2023,WebPush,1
29,167,20,12.03.2023,17.03.2023,SMS,2
16,168,44,29.04.2023,01.05.2023,MobPush,3
14,169,35,11.04.2023,26.04.2023,WebPush,3
25,170,32,05.04.2023,18.04.2023,Email,2
35,171,18,08.03.2023,15.03.2023,SMS,2
24,172,10,20.02.2023,25.02.2023,Viber,2
5,173,10,20.02.2023,03.03.2023,Viber,2
69,174,14,28.02.2023,06.03.2023,Viber,1
9,175,50,11.05.2023,22.05.2023,MobPush,3
76,176,30,01.04.2023,15.04.2023,Email,0
57,177,6,12.02.2023,24.02.2023,Viber,1
61,178,41,23.04.2023,30.04.2023,WebPush,0
42,179,38,17.04.2023,27.04.2023,WebPush,2
27,180,17,06.03.2023,08.03.2023,SMS,1
21,181,31,03.04.2023,07.04.2023,Email,0
90,182,43,27.04.2023,10.05.2023,MobPush,2
58,183,3,06.02.2023,16.02.2023,Email,2
39,184,30,01.04.2023,15.04.2023,Email,3
28,185,50,11.05.2023,20.05.2023,MobPush,1
85,186,47,05.05.2023,06.05.2023,MobPush,0
34,187,47,05.05.2023,20.05.2023,MobPush,0
42,188,13,26.02.2023,06.03.2023,Viber,1
39,189,29,30.03.2023,02.04.2023,Email,3
53,190,39,19.04.2023,26.04.2023,WebPush,2
84,191,40,21.04.2023,03.05.2023,WebPush,2
89,192,25,22.03.2023,04.04.2023,Email,3
14,193,39,19.04.2023,04.05.2023,WebPush,2
11,194,27,26.03.2023,02.04.2023,Email,1
59,195,18,08.03.2023,11.03.2023,SMS,2
89,196,14,28.02.2023,09.03.2023,Viber,1
80,197,1,02.02.2023,13.02.2023,Viber,0
71,198,27,26.03.2023,05.04.2023,Email,2
98,199,43,27.04.2023,28.04.2023,MobPush,0
12,200,26,24.03.2023,30.03.2023,Email,3
67,201,35,11.04.2023,20.04.2023,WebPush,1
100,202,17,06.03.2023,16.03.2023,SMS,2
37,203,41,23.04.2023,03.05.2023,WebPush,2
46,204,20,12.03.2023,18.03.2023,SMS,3
66,205,12,24.02.2023,26.02.2023,Viber,3
12,206,26,24.03.2023,27.03.2023,Email,1
63,207,36,13.04.2023,19.04.2023,WebPush,0
73,208,50,11.05.2023,17.05.2023,MobPush,1
37,209,6,12.02.2023,13.02.2023,Viber,0
38,210,34,09.04.2023,12.04.2023,WebPush,2
29,211,39,19.04.2023,25.04.2023,WebPush,0
42,212,4,08.02.2023,22.02.2023,WebPush,2
5,213,11,22.02.2023,08.03.2023,Viber,1
41,214,45,01.05.2023,16.05.2023,MobPush,1
50,215,13,26.02.2023,12.03.2023,Viber,3
11,216,15,02.03.2023,04.03.2023,Viber,1
37,217,5,10.02.2023,17.02.2023,MobPush,3
61,218,12,24.02.2023,07.03.2023,Viber,3
15,219,44,29.04.2023,04.05.2023,MobPush,0
30,220,24,20.03.2023,02.04.2023,SMS,1
59,221,19,10.03.2023,16.03.2023,SMS,3
75,222,10,20.02.2023,27.02.2023,Viber,0
7,223,8,16.02.2023,01.03.2023,Viber,1
56,224,31,03.04.2023,12.04.2023,Email,3
60,225,13,26.02.2023,12.03.2023,Viber,1
16,226,15,02.03.2023,05.03.2023,Viber,0
73,227,3,06.02.2023,19.02.2023,Email,1
81,228,43,27.04.2023,08.05.2023,MobPush,3
67,229,18,08.03.2023,21.03.2023,SMS,2
64,230,24,20.03.2023,29.03.2023,SMS,1
33,231,2,04.02.2023,14.02.2023,SMS,1
97,232,39,19.04.2023,22.04.2023,WebPush,3
39,233,38,17.04.2023,24.04.2023,WebPush,3
6,234,31,03.04.2023,17.04.2023,Email,0
87,235,33,07.04.2023,19.04.2023,Email,2
9,236,49,09.05.2023,19.05.2023,MobPush,1
81,237,14,28.02.2023,13.03.2023,Viber,3
55,238,8,16.02.2023,18.02.2023,Viber,3
6,239,23,18.03.2023,24.03.2023,SMS,2
44,240,41,23.04.2023,01.05.2023,WebPush,0
26,241,45,01.05.2023,13.05.2023,MobPush,1
63,242,48,07.05.2023,22.05.2023,MobPush,2
26,243,19,10.03.2023,23.03.2023,SMS,3
19,244,44,29.04.2023,10.05.2023,MobPush,2
39,245,24,20.03.2023,02.04.2023,SMS,1
4,246,40,21.04.2023,23.04.2023,WebPush,1
10,247,27,26.03.2023,05.04.2023,Email,1
68,248,45,01.05.2023,06.05.2023,MobPush,2
2,249,29,30.03.2023,04.04.2023,Email,3
39,250,47,05.05.2023,13.05.2023,MobPush,3
74,251,19,10.03.2023,18.03.2023,SMS,1
37,252,23,18.03.2023,24.03.2023,SMS,3
84,253,47,05.05.2023,18.05.2023,MobPush,3
20,254,8,16.02.2023,20.02.2023,Viber,2
58,255,16,04.03.2023,08.03.2023,SMS,0
13,256,1,02.02.2023,13.02.2023,Viber,3
79,257,30,01.04.2023,06.04.2023,Email,3
23,258,27,26.03.2023,10.04.2023,Email,2
97,259,20,12.03.2023,14.03.2023,SMS,0
60,260,29,30.03.2023,03.04.2023,Email,2
100,261,20,12.03.2023,16.03.2023,SMS,2
81,262,41,23.04.2023,04.05.2023,WebPush,2
16,263,27,26.03.2023,09.04.2023,Email,1
8,264,34,09.04.2023,19.04.2023,WebPush,2
33,265,23,18.03.2023,21.03.2023,SMS,3
1,266,20,12.03.2023,17.03.2023,SMS,3
80,267,44,29.04.2023,08.05.2023,MobPush,0
43,268,27,26.03.2023,03.04.2023,Email,2
31,269,17,06.03.2023,08.03.2023,SMS,3
40,270,31,03.04.2023,18.04.2023,Email,2
63,271,11,22.02.2023,08.03.2023,Viber,2
28,272,49,09.05.2023,21.05.2023,MobPush,1
87,273,26,24.03.2023,07.04.2023,Email,1
39,274,1,02.02.2023,15.02.2023,Viber,3
75,275,37,15.04.2023,24.04.2023,WebPush,3
4,276,24,20.03.2023,21.03.2023,SMS,2
90,277,10,20.02.2023,22.02.2023,Viber,2
16,278,9,18.02.2023,27.02.2023,Viber,0
46,279,13,26.02.2023,03.03.2023,Viber,3
86,280,16,04.03.2023,05.03.2023,SMS,3
32,281,16,04.03.2023,14.03.2023,SMS,0
46,282,5,10.02.2023,25.02.2023,MobPush,3
34,283,37,15.04.2023,16.04.2023,WebPush,2
21,284,36,13.04.2023,17.04.2023,WebPush,3
94,285,15,02.03.2023,13.03.2023,Viber,3
46,286,48,07.05.2023,08.05.2023,MobPush,0
13,287,8,16.02.2023,26.02.2023,Viber,3
37,288,21,14.03.2023,16.03.2023,SMS,2
55,289,16,04.03.2023,17.03.2023,SMS,3
47,290,5,10.02.2023,17.02.2023,MobPush,1
26,291,1,02.02.2023,05.02.2023,Viber,3
41,292,11,22.02.2023,06.03.2023,Viber,2
64,293,38,17.04.2023,24.04.2023,WebPush,2
20,294,36,13.04.2023,22.04.2023,WebPush,0
45,295,5,10.02.2023,13.02.2023,MobPush,1
52,296,19,10.03.2023,25.03.2023,SMS,2
14,297,37,15.04.2023,29.04.2023,WebPush,3
74,298,21,14.03.2023,15.03.2023,SMS,3
56,299,8,16.02.2023,24.02.2023,Viber,0
37,300,34,09.04.2023,23.04.2023,WebPush,1
82,301,43,27.04.2023,03.05.2023,MobPush,1
56,302,20,12.03.2023,14.03.2023,SMS,3
2,303,23,18.03.2023,26.03.2023,SMS,1
76,304,4,08.02.2023,20.02.2023,WebPush,1
75,305,10,20.02.2023,02.03.2023,Viber,1
53,306,34,09.04.2023,10.04.2023,WebPush,0
40,307,38,17.04.2023,30.04.2023,WebPush,1
75,308,6,12.02.2023,17.02.2023,Viber,1
100,309,1,02.02.2023,06.02.2023,Viber,2
66,310,32,05.04.2023,13.04.2023,Email,1
63,311,19,10.03.2023,20.03.2023,SMS,0
78,312,46,03.05.2023,08.05.2023,MobPush,1
1,313,48,07.05.2023,22.05.2023,MobPush,1
57,314,25,22.03.2023,05.04.2023,Email,1
96,315,14,28.02.2023,09.03.2023,Viber,3
84,316,27,26.03.2023,01.04.2023,Email,2
36,317,18,08.03.2023,17.03.2023,SMS,0
18,318,34,09.04.2023,21.04.2023,WebPush,0
28,319,39,19.04.2023,27.04.2023,WebPush,0
62,320,47,05.05.2023,18.05.2023,MobPush,1
66,321,13,26.02.2023,07.03.2023,Viber,0
33,322,14,28.02.2023,03.03.2023,Viber,2
66,323,49,09.05.2023,21.05.2023,MobPush,3
33,324,15,02.03.2023,13.03.2023,Viber,0
3,325,9,18.02.2023,20.02.2023,Viber,1
12,326,2,04.02.2023,13.02.2023,SMS,2
6,327,49,09.05.2023,22.05.2023,MobPush,2
98,328,41,23.04.2023,02.05.2023,WebPush,3
22,329,13,26.02.2023,09.03.2023,Viber,1
35,330,50,11.05.2023,20.05.2023,MobPush,1
78,331,2,04.02.2023,05.02.2023,SMS,0
60,332,26,24.03.2023,28.03.2023,Email,3
57,333,4,08.02.2023,21.02.2023,WebPush,0
13,334,25,22.03.2023,25.03.2023,Email,2
15,335,8,16.02.2023,25.02.2023,Viber,0
93,336,49,09.05.2023,22.05.2023,MobPush,2
49,337,4,08.02.2023,22.02.2023,WebPush,2
21,338,11,22.02.2023,09.03.2023,Viber,3
95,339,42,25.04.2023,30.04.2023,WebPush,0
14,340,5,10.02.2023,24.02.2023,MobPush,1
62,341,31,03.04.2023,15.04.2023,Email,0
9,342,9,18.02.2023,01.03.2023,Viber,0
53,343,45,01.05.2023,15.05.2023,MobPush,2
97,344,5,10.02.2023,12.02.2023,MobPush,3
75,345,9,18.02.2023,28.02.2023,Viber,3
98,346,32,05.04.2023,18.04.2023,Email,0
32,347,30,01.04.2023,02.04.2023,Email,0
97,348,29,30.03.2023,12.04.2023,Email,3
4,349,23,18.03.2023,22.03.2023,SMS,3
87,350,36,13.04.2023,16.04.2023,WebPush,1
30,351,28,28.03.2023,11.04.2023,Email,2
34,352,45,01.05.2023,08.05.2023,MobPush,3
15,353,19,10.03.2023,21.03.2023,SMS,1
13,354,44,29.04.2023,12.05.2023,MobPush,1
33,355,30,01.04.2023,16.04.2023,Email,3
17,356,45,01.05.2023,02.05.2023,MobPush,0
5,357,39,19.04.2023,03.05.2023,WebPush,2
52,358,47,05.05.2023,12.05.2023,MobPush,3
72,359,32,05.04.2023,13.04.2023,Email,1
91,360,20,12.03.2023,21.03.2023,SMS,3
7,361,35,11.04.2023,16.04.2023,WebPush,2
34,362,17,06.03.2023,10.03.2023,SMS,0
29,363,18,08.03.2023,09.03.2023,SMS,1
1,364,25,22.03.2023,02.04.2023,Email,0
20,365,45,01.05.2023,02.05.2023,MobPush,3
32,366,12,24.02.2023,05.03.2023,Viber,1
20,367,1,02.02.2023,13.02.2023,Viber,1
12,368,32,05.04.2023,11.04.2023,Email,3
21,369,10,20.02.2023,21.02.2023,Viber,3
63,370,29,30.03.2023,11.04.2023,Email,2
25,371,47,05.05.2023,09.05.2023,MobPush,2
8,372,33,07.04.2023,19.04.2023,Email,0
11,373,42,25.04.2023,26.04.2023,WebPush,2
23,374,4,08.02.2023,17.02.2023,WebPush,2
100,375,36,13.04.2023,21.04.2023,WebPush,2
63,376,16,04.03.2023,07.03.2023,SMS,2
56,377,19,10.03.2023,15.03.2023,SMS,1
76,378,2,04.02.2023,05.02.2023,SMS,3
95,379,13,26.02.2023,08.03.2023,Viber,0
58,380,42,25.04.2023,28.04.2023,WebPush,3
37,381,11,22.02.2023,09.03.2023,Viber,2
98,382,39,19.04.2023,28.04.2023,WebPush,3
36,383,31,03.04.2023,17.04.2023,Email,1
94,384,36,13.04.2023,26.04.2023,WebPush,3
86,385,45,01.05.2023,04.05.2023,MobPush,3
93,386,30,01.04.2023,14.04.2023,Email,3
67,387,28,28.03.2023,09.04.2023,Email,0
67,388,25,22.03.2023,30.03.2023,Email,0
11,389,16,04.03.2023,18.03.2023,SMS,3
69,390,39,19.04.2023,20.04.2023,WebPush,0
23,391,35,11.04.2023,25.04.2023,WebPush,2
89,392,5,10.02.2023,22.02.2023,MobPush,0
97,393,28,28.03.2023,09.04.2023,Email,2
100,394,48,07.05.2023,15.05.2023,MobPush,1
40,395,1,02.02.2023,12.02.2023,Viber,2
38,396,24,20.03.2023,03.04.2023,SMS,2
95,397,35,11.04.2023,24.04.2023,WebPush,1
63,398,9,18.02.2023,22.02.2023,Viber,1
91,399,50,11.05.2023,19.05.2023,MobPush,3
85,400,15,02.03.2023,11.03.2023,Viber,0
18,401,41,23.04.2023,03.05.2023,WebPush,2
96,402,43,27.04.2023,08.05.2023,MobPush,2
63,403,45,01.05.2023,11.05.2023,MobPush,1
72,404,8,16.02.2023,24.02.2023,Viber,1
50,405,19,10.03.2023,23.03.2023,SMS,2
81,406,42,25.04.2023,05.05.2023,WebPush,2
19,407,35,11.04.2023,26.04.2023,WebPush,1
15,408,7,14.02.2023,24.02.2023,Viber,3
64,409,21,14.03.2023,17.03.2023,SMS,1
32,410,41,23.04.2023,30.04.2023,WebPush,2
58,411,26,24.03.2023,29.03.2023,Email,0
72,412,45,01.05.2023,07.05.2023,MobPush,0
51,413,34,09.04.2023,12.04.2023,WebPush,3
21,414,39,19.04.2023,01.05.2023,WebPush,3
92,415,22,16.03.2023,25.03.2023,SMS,0
90,416,11,22.02.2023,23.02.2023,Viber,2
26,417,37,15.04.2023,26.04.2023,WebPush,2
58,418,33,07.04.2023,20.04.2023,Email,0
80,419,21,14.03.2023,27.03.2023,SMS,0
75,420,21,14.03.2023,25.03.2023,SMS,3
44,421,4,08.02.2023,10.02.2023,WebPush,2
6,422,15,02.03.2023,08.03.2023,Viber,1
99,423,6,12.02.2023,24.02.2023,Viber,0
30,424,38,17.04.2023,22.04.2023,WebPush,2
76,425,5,10.02.2023,20.02.2023,MobPush,2
4,426,15,02.03.2023,14.03.2023,Viber,2
42,427,50,11.05.2023,13.05.2023,MobPush,2
29,428,5,10.02.2023,15.02.2023,MobPush,1
2,429,37,15.04.2023,20.04.2023,WebPush,2
35,430,12,24.02.2023,05.03.2023,Viber,3
13,431,49,09.05.2023,18.05.2023,MobPush,2
9,432,36,13.04.2023,26.04.2023,WebPush,2
79,433,46,03.05.2023,13.05.2023,MobPush,1
60,434,6,12.02.2023,13.02.2023,Viber,1
43,435,44,29.04.2023,12.05.2023,MobPush,0
97,436,23,18.03.2023,30.03.2023,SMS,0
92,437,24,20.03.2023,04.04.2023,SMS,0
53,438,27,26.03.2023,30.03.2023,Email,3
15,439,50,11.05.2023,23.05.2023,MobPush,3
85,440,38,17.04.2023,20.04.2023,WebPush,0
30,441,36,13.04.2023,14.04.2023,WebPush,3
18,442,25,22.03.2023,28.03.2023,Email,1
77,443,28,28.03.2023,31.03.2023,Email,3
56,444,15,02.03.2023,04.03.2023,Viber,1
89,445,31,03.04.2023,18.04.2023,Email,3
8,446,18,08.03.2023,15.03.2023,SMS,3
41,447,34,09.04.2023,12.04.2023,WebPush,3
2,448,4,08.02.2023,14.02.2023,WebPush,3
46,449,6,12.02.2023,15.02.2023,Viber,2
12,450,35,11.04.2023,23.04.2023,WebPush,1
25,451,8,16.02.2023,03.03.2023,Viber,2
22,452,10,20.02.2023,25.02.2023,Viber,1
77,453,30,01.04.2023,07.04.2023,Email,0
39,454,49,09.05.2023,20.05.2023,MobPush,0
67,455,32,05.04.2023,19.04.2023,Email,1
16,456,27,26.03.2023,01.04.2023,Email,0
3,457,25,22.03.2023,27.03.2023,Email,2
56,458,34,09.04.2023,17.04.2023,WebPush,1
41,459,23,18.03.2023,24.03.2023,SMS,1
29,460,13,26.02.2023,27.02.2023,Viber,1
25,461,26,24.03.2023,02.04.2023,Email,1
18,462,17,06.03.2023,08.03.2023,SMS,2
60,463,47,05.05.2023,18.05.2023,MobPush,2
68,464,45,01.05.2023,12.05.2023,MobPush,0
75,465,48,07.05.2023,22.05.2023,MobPush,3
62,466,17,06.03.2023,10.03.2023,SMS,0
85,467,9,18.02.2023,26.02.2023,Viber,2
22,468,25,22.03.2023,04.04.2023,Email,2
35,469,4,08.02.2023,13.02.2023,WebPush,2
28,470,13,26.02.2023,13.03.2023,Viber,3
68,471,32,05.04.2023,17.04.2023,Email,0
3,472,30,01.04.2023,12.04.2023,Email,0
23,473,31,03.04.2023,17.04.2023,Email,0
3,474,1,02.02.2023,15.02.2023,Viber,2
82,475,34,09.04.2023,19.04.2023,WebPush,3
64,476,15,02.03.2023,13.03.2023,Viber,3
98,477,11,22.02.2023,26.02.2023,Viber,0
71,478,15,02.03.2023,04.03.2023,Viber,0
14,479,15,02.03.2023,10.03.2023,Viber,2
9,480,25,22.03.2023,24.03.2023,Email,2
58,481,23,18.03.2023,21.03.2023,SMS,2
35,482,41,23.04.2023,24.04.2023,WebPush,1
91,483,10,20.02.2023,26.02.2023,Viber,0
59,484,21,14.03.2023,18.03.2023,SMS,2
7,485,47,05.05.2023,08.05.2023,MobPush,3
11,486,39,19.04.2023,24.04.2023,WebPush,2
21,487,24,20.03.2023,21.03.2023,SMS,3
35,488,41,23.04.2023,24.04.2023,WebPush,0
45,489,18,08.03.2023,19.03.2023,SMS,2
14,490,27,26.03.2023,31.03.2023,Email,0
16,491,15,02.03.2023,17.03.2023,Viber,0
33,492,1,02.02.2023,03.02.2023,Viber,3
1,493,30,01.04.2023,15.04.2023,Email,1
19,494,48,07.05.2023,13.05.2023,MobPush,2
99,495,1,02.02.2023,05.02.2023,Viber,1
3,496,40,21.04.2023,02.05.2023,WebPush,3
44,497,43,27.04.2023,29.04.2023,MobPush,0
51,498,30,01.04.2023,04.04.2023,Email,0
1,499,16,04.03.2023,10.03.2023,SMS,1
35,500,14,28.02.2023,08.03.2023,Viber,2
55,501,49,09.05.2023,24.05.2023,MobPush,1
70,502,48,07.05.2023,15.05.2023,MobPush,1
43,503,13,26.02.2023,28.02.2023,Viber,2
20,504,11,22.02.2023,28.02.2023,Viber,1
99,505,45,01.05.2023,08.05.2023,MobPush,2
96,506,6,12.02.2023,23.02.2023,Viber,2
86,507,2,04.02.2023,10.02.2023,SMS,3
48,508,38,17.04.2023,01.05.2023,WebPush,2
34,509,46,03.05.2023,04.05.2023,MobPush,2
93,510,27,26.03.2023,02.04.2023,Email,0
44,511,3,06.02.2023,15.02.2023,Email,1
64,512,15,02.03.2023,16.03.2023,Viber,1
25,513,28,28.03.2023,08.04.2023,Email,1
67,514,50,11.05.2023,14.05.2023,MobPush,0
22,515,23,18.03.2023,21.03.2023,SMS,1
17,516,37,15.04.2023,20.04.2023,WebPush,2
70,517,6,12.02.2023,19.02.2023,Viber,0
96,518,43,27.04.2023,08.05.2023,MobPush,3
6,519,11,22.02.2023,24.02.2023,Viber,3
93,520,9,18.02.2023,02.03.2023,Viber,1
42,521,20,12.03.2023,13.03.2023,SMS,3
30,522,39,19.04.2023,02.05.2023,WebPush,2
50,523,41,23.04.2023,01.05.2023,WebPush,1
45,524,32,05.04.2023,16.04.2023,Email,1
36,525,28,28.03.2023,11.04.2023,Email,2
4,526,7,14.02.2023,24.02.2023,Viber,0
17,527,6,12.02.2023,26.02.2023,Viber,2
9,528,30,01.04.2023,02.04.2023,Email,1
69,529,18,08.03.2023,20.03.2023,SMS,3
9,530,35,11.04.2023,20.04.2023,WebPush,1
